date,open,high,low,close
2024-04-01 04:52:00,1.07866,1.07868,1.07866,1.07868
2024-04-01 04:53:00,1.07868,1.07871,1.07868,1.07869
2024-04-01 04:54:00,1.07869,1.07871,1.07861,1.07862
2024-04-01 04:55:00,1.07861,1.07867,1.0786,1.07866
2024-04-01 04:56:00,1.07867,1.07872,1.07867,1.07871
2024-04-01 04:57:00,1.07871,1.07874,1.0787,1.07871
2024-04-01 04:58:00,1.07871,1.07873,1.07871,1.07872
2024-04-01 04:59:00,1.07873,1.07873,1.07868,1.0787
2024-04-01 05:00:00,1.07869,1.07869,1.07866,1.07866
2024-04-01 05:01:00,1.07867,1.07874,1.07867,1.07871
2024-04-01 05:02:00,1.07872,1.07873,1.07871,1.07872
2024-04-01 05:03:00,1.07871,1.07871,1.07865,1.07865
2024-04-01 05:04:00,1.07865,1.07865,1.07862,1.07863
2024-04-01 05:05:00,1.07864,1.07866,1.07863,1.07864
2024-04-01 05:06:00,1.07864,1.07865,1.07861,1.07862
2024-04-01 05:07:00,1.07863,1.07865,1.07862,1.07862
2024-04-01 05:08:00,1.07863,1.0787,1.07863,1.0787
2024-04-01 05:09:00,1.0787,1.0787,1.07865,1.07865
2024-04-01 05:10:00,1.07866,1.07866,1.0786,1.0786
2024-04-01 05:11:00,1.0786,1.07862,1.07858,1.07859
2024-04-01 05:12:00,1.07859,1.07859,1.0785,1.07851
2024-04-01 05:13:00,1.07852,1.07854,1.07851,1.07853
2024-04-01 05:14:00,1.07854,1.07854,1.07849,1.0785
2024-04-01 05:15:00,1.0785,1.0785,1.07849,1.07849
2024-04-01 05:16:00,1.07849,1.07851,1.07846,1.0785
2024-04-01 05:17:00,1.0785,1.07852,1.07849,1.07849
2024-04-01 05:18:00,1.07849,1.0785,1.07847,1.07849
2024-04-01 05:19:00,1.07848,1.07849,1.07848,1.07849
2024-04-01 05:20:00,1.07848,1.07848,1.07842,1.07848
2024-04-01 05:21:00,1.07847,1.07848,1.07844,1.07844
2024-04-01 05:22:00,1.07843,1.07844,1.07843,1.07844
2024-04-01 05:23:00,1.07843,1.07844,1.07842,1.07844
2024-04-01 05:24:00,1.07844,1.07849,1.07844,1.07848
2024-04-01 05:25:00,1.07849,1.07849,1.07847,1.07849
2024-04-01 05:26:00,1.0785,1.07854,1.07848,1.0785
2024-04-01 05:27:00,1.0785,1.0785,1.0785,1.0785
2024-04-01 05:28:00,1.07849,1.07851,1.07843,1.07844
2024-04-01 05:29:00,1.07845,1.07845,1.0784,1.0784
2024-04-01 05:30:00,1.07839,1.07843,1.07838,1.07842
2024-04-01 05:31:00,1.07842,1.07844,1.07842,1.07842
2024-04-01 05:32:00,1.07843,1.07849,1.07841,1.07846
2024-04-01 05:33:00,1.07846,1.07846,1.07838,1.07838
2024-04-01 05:34:00,1.07838,1.07842,1.07838,1.0784
2024-04-01 05:35:00,1.07839,1.07846,1.07838,1.07846
2024-04-01 05:36:00,1.07845,1.07845,1.07841,1.07841
2024-04-01 05:37:00,1.07842,1.07842,1.07842,1.07842
2024-04-01 05:38:00,1.07843,1.07843,1.07842,1.07843
2024-04-01 05:39:00,1.07844,1.07844,1.07838,1.07838
2024-04-01 05:40:00,1.07838,1.07838,1.07832,1.07836
2024-04-01 05:41:00,1.07837,1.07838,1.07836,1.07837
2024-04-01 05:42:00,1.07838,1.07838,1.07833,1.07836
2024-04-01 05:43:00,1.07836,1.07836,1.07832,1.07832
2024-04-01 05:44:00,1.07832,1.07834,1.07828,1.07832
2024-04-01 05:45:00,1.07832,1.07838,1.07831,1.07838
2024-04-01 05:46:00,1.07838,1.07846,1.07838,1.07846
2024-04-01 05:47:00,1.07846,1.07851,1.07846,1.07849
2024-04-01 05:48:00,1.07849,1.07851,1.07849,1.0785
2024-04-01 05:49:00,1.0785,1.07858,1.0785,1.07855
2024-04-01 05:50:00,1.07855,1.0786,1.07854,1.0786
2024-04-01 05:51:00,1.0786,1.07861,1.07859,1.07859
2024-04-01 05:52:00,1.07859,1.07859,1.07858,1.07859
2024-04-01 05:53:00,1.07858,1.07858,1.07849,1.0785
2024-04-01 05:54:00,1.0785,1.07854,1.0785,1.07853
2024-04-01 05:55:00,1.07854,1.07858,1.07854,1.07855
2024-04-01 05:56:00,1.07854,1.07865,1.07854,1.07863
2024-04-01 05:57:00,1.07861,1.07864,1.0786,1.0786
2024-04-01 05:58:00,1.07861,1.07862,1.0786,1.07861
2024-04-01 05:59:00,1.07861,1.07861,1.07854,1.07855
2024-04-01 06:00:00,1.07855,1.07856,1.07846,1.07855
2024-04-01 06:01:00,1.07854,1.07856,1.07849,1.07849
2024-04-01 06:02:00,1.0785,1.07852,1.07849,1.07852
2024-04-01 06:03:00,1.07852,1.07861,1.07852,1.07859
2024-04-01 06:04:00,1.0786,1.07861,1.07846,1.07854
2024-04-01 06:05:00,1.07854,1.07861,1.07852,1.0786
2024-04-01 06:06:00,1.07859,1.07859,1.07849,1.0785
2024-04-01 06:07:00,1.07849,1.07852,1.07847,1.0785
2024-04-01 06:08:00,1.07851,1.07859,1.0785,1.07858
2024-04-01 06:09:00,1.07859,1.07862,1.07858,1.07861
2024-04-01 06:10:00,1.07862,1.07862,1.07857,1.07861
2024-04-01 06:11:00,1.07862,1.07862,1.0786,1.07862
2024-04-01 06:12:00,1.07863,1.0787,1.07862,1.0787
2024-04-01 06:13:00,1.0787,1.07871,1.07869,1.0787
2024-04-01 06:14:00,1.07869,1.0787,1.07865,1.0787
2024-04-01 06:15:00,1.07871,1.07874,1.07865,1.07865
2024-04-01 06:16:00,1.07865,1.0787,1.07865,1.07868
2024-04-01 06:17:00,1.07868,1.07868,1.07862,1.07866
2024-04-01 06:18:00,1.07867,1.07877,1.07867,1.07876
2024-04-01 06:19:00,1.07877,1.07879,1.07875,1.07878
2024-04-01 06:20:00,1.07879,1.07881,1.07876,1.07879
2024-04-01 06:21:00,1.07879,1.07882,1.07875,1.07879
2024-04-01 06:22:00,1.0788,1.07886,1.0788,1.07885
2024-04-01 06:23:00,1.07885,1.0789,1.07885,1.07885
2024-04-01 06:24:00,1.07888,1.07895,1.07888,1.07894
2024-04-01 06:25:00,1.07893,1.07893,1.07885,1.07893
2024-04-01 06:26:00,1.07892,1.07893,1.0789,1.07893
2024-04-01 06:27:00,1.07892,1.07894,1.07888,1.0789
2024-04-01 06:28:00,1.0789,1.07895,1.0789,1.07894
2024-04-01 06:29:00,1.07895,1.07896,1.07894,1.07894
2024-04-01 06:30:00,1.07894,1.07902,1.07894,1.07902
2024-04-01 06:31:00,1.07901,1.07906,1.07897,1.07898
2024-04-01 06:32:00,1.07899,1.079,1.07894,1.07895
2024-04-01 06:33:00,1.07894,1.07894,1.07889,1.0789
2024-04-01 06:34:00,1.0789,1.07894,1.07881,1.0789
2024-04-01 06:35:00,1.07889,1.0789,1.07884,1.07888
2024-04-01 06:36:00,1.07888,1.0789,1.07886,1.0789
2024-04-01 06:37:00,1.0789,1.07892,1.07887,1.07889
2024-04-01 06:38:00,1.07889,1.07894,1.07885,1.07889
2024-04-01 06:39:00,1.07889,1.0789,1.07875,1.07878
2024-04-01 06:40:00,1.07878,1.07882,1.07878,1.0788
2024-04-01 06:41:00,1.0788,1.07883,1.07879,1.0788
2024-04-01 06:42:00,1.07879,1.07884,1.07874,1.0788
2024-04-01 06:43:00,1.0788,1.07882,1.0788,1.07882
2024-04-01 06:44:00,1.07881,1.07885,1.0788,1.07883
2024-04-01 06:45:00,1.07884,1.07892,1.0788,1.0788
2024-04-01 06:46:00,1.07879,1.07879,1.07872,1.07874
2024-04-01 06:47:00,1.07873,1.07876,1.07869,1.0787
2024-04-01 06:48:00,1.07869,1.07869,1.07864,1.07866
2024-04-01 06:49:00,1.07865,1.07865,1.07858,1.07858
2024-04-01 06:50:00,1.07857,1.07865,1.07856,1.07865
2024-04-01 06:51:00,1.07864,1.0787,1.07861,1.07868
2024-04-01 06:52:00,1.07869,1.07873,1.07868,1.07873
2024-04-01 06:53:00,1.07872,1.07884,1.07871,1.07884
2024-04-01 06:54:00,1.07885,1.07885,1.07878,1.0788
2024-04-01 06:55:00,1.07881,1.07882,1.07875,1.07879
2024-04-01 06:56:00,1.07878,1.07878,1.0787,1.07873
2024-04-01 06:57:00,1.07874,1.07875,1.07873,1.07873
2024-04-01 06:58:00,1.07872,1.07874,1.07865,1.07868
2024-04-01 06:59:00,1.07867,1.07872,1.07866,1.07867
2024-04-01 07:00:00,1.07868,1.07874,1.07848,1.0785
2024-04-01 07:01:00,1.0785,1.07855,1.0785,1.07855
2024-04-01 07:02:00,1.07854,1.07858,1.07851,1.07858
